epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.761,1.56057,3.38984,1.77289,0.19056,0.25474,0.14891,0.08418,1.64408,3.20956,1.9466,0.000332613,0.000332613,0.0670713
2,502.51,1.55743,2.94461,1.79538,0.24133,0.33369,0.21273,0.11715,1.58463,2.70079,1.91039,0.000657706,0.000657706,0.034063
3,752.323,1.50789,2.73386,1.74919,0.27578,0.39064,0.27887,0.1562,1.54907,2.29537,1.81855,0.000974548,0.000974548,0.00104654
4,1001.76,1.45702,2.56215,1.70603,0.36317,0.40777,0.30501,0.17415,1.57402,2.07424,1.81144,0.000962875,0.000962875,0.000962875
5,1252.93,1.39644,2.42588,1.65841,0.43894,0.41571,0.34436,0.20522,1.4025,1.83495,1.68968,0.0009505,0.0009505,0.0009505
6,1503.64,1.36396,2.2839,1.62236,0.42932,0.44976,0.38361,0.22886,1.45088,1.84521,1.69971,0.000938125,0.000938125,0.000938125
7,1754.69,1.35461,2.21367,1.60788,0.39621,0.45569,0.41391,0.27144,1.27807,1.65736,1.52693,0.00092575,0.00092575,0.00092575
8,2006.1,1.32486,2.1256,1.57748,0.38928,0.54362,0.44115,0.27167,1.33949,1.59817,1.58061,0.000913375,0.000913375,0.000913375
9,2255.94,1.30404,2.09764,1.57069,0.46357,0.46522,0.46707,0.31216,1.24544,1.53431,1.5006,0.000901,0.000901,0.000901
10,2506.77,1.29119,2.01845,1.56696,0.45344,0.55004,0.50001,0.30763,1.30249,1.43512,1.54888,0.000888625,0.000888625,0.000888625
11,2756.07,1.26013,1.96152,1.54247,0.51182,0.51767,0.53086,0.34695,1.21251,1.41138,1.47773,0.00087625,0.00087625,0.00087625
12,3004.46,1.26335,1.92267,1.55092,0.52333,0.59616,0.56529,0.38003,1.13687,1.35094,1.43896,0.000863875,0.000863875,0.000863875
13,3250.13,1.22814,1.87189,1.52611,0.49655,0.60138,0.55973,0.36821,1.20705,1.29089,1.46737,0.0008515,0.0008515,0.0008515
14,3496.04,1.22428,1.84333,1.52805,0.51846,0.59846,0.58254,0.40283,1.10242,1.25799,1.42934,0.000839125,0.000839125,0.000839125
15,3744.89,1.20596,1.81256,1.50757,0.46412,0.57977,0.54401,0.35963,1.15934,1.30048,1.44783,0.00082675,0.00082675,0.00082675
16,4000.2,1.19261,1.77838,1.49331,0.57632,0.62671,0.63955,0.42799,1.14283,1.20262,1.43234,0.000814375,0.000814375,0.000814375
17,4255.59,1.18473,1.71039,1.4859,0.60095,0.64319,0.66797,0.45524,1.14383,1.07531,1.44294,0.000802,0.000802,0.000802
18,4513,1.17754,1.70637,1.48449,0.6598,0.63266,0.65975,0.45187,1.12834,1.12065,1.43486,0.000789625,0.000789625,0.000789625
19,4772.38,1.16932,1.6576,1.47595,0.62369,0.5718,0.63968,0.44406,1.06374,1.14264,1.38935,0.00077725,0.00077725,0.00077725
20,5033.12,1.14126,1.64296,1.46102,0.69564,0.60252,0.68782,0.47019,1.15348,1.05515,1.45321,0.000764875,0.000764875,0.000764875
21,5292.04,1.14776,1.61731,1.46596,0.66499,0.63229,0.68808,0.50857,0.96125,1.06594,1.31929,0.0007525,0.0007525,0.0007525
22,5548.07,1.1352,1.58935,1.45132,0.68452,0.59024,0.66693,0.45883,1.09304,1.13448,1.39167,0.000740125,0.000740125,0.000740125
23,5806.96,1.1265,1.54881,1.44141,0.67042,0.67363,0.70614,0.51068,1.00724,1.00498,1.35235,0.00072775,0.00072775,0.00072775
24,6067.06,1.11164,1.53498,1.43897,0.62567,0.6702,0.69389,0.50456,1.01024,1.02564,1.35257,0.000715375,0.000715375,0.000715375
25,6326.33,1.10853,1.53803,1.43417,0.69741,0.63083,0.72827,0.52075,1.05376,0.98824,1.36993,0.000703,0.000703,0.000703
26,6587.56,1.10075,1.48817,1.4259,0.7113,0.64978,0.72995,0.52864,1.00886,0.95673,1.33843,0.000690625,0.000690625,0.000690625
27,6850.86,1.09301,1.47476,1.42693,0.6562,0.70616,0.73839,0.52463,1.02365,0.93966,1.35548,0.00067825,0.00067825,0.00067825
28,7114.83,1.08443,1.44476,1.4167,0.73387,0.71894,0.78819,0.57959,0.96803,0.84479,1.30597,0.000665875,0.000665875,0.000665875
29,7380.83,1.07039,1.40546,1.3929,0.73381,0.71324,0.76974,0.57031,0.95332,0.84087,1.29363,0.0006535,0.0006535,0.0006535
30,7646.35,1.07754,1.40957,1.41172,0.69217,0.72398,0.77594,0.56715,0.98455,0.86128,1.31982,0.000641125,0.000641125,0.000641125
31,7911.84,1.05314,1.34509,1.38478,0.77667,0.68801,0.78466,0.58146,0.9271,0.81869,1.28111,0.00062875,0.00062875,0.00062875
32,8184.4,1.06505,1.3766,1.40203,0.76946,0.70344,0.78421,0.59528,0.89994,0.81299,1.27116,0.000616375,0.000616375,0.000616375
33,8456.07,1.05469,1.33144,1.38928,0.77701,0.67716,0.77701,0.57297,0.94456,0.83553,1.29332,0.000604,0.000604,0.000604
34,8727.28,1.04069,1.32189,1.37526,0.8175,0.72528,0.80678,0.60261,0.91306,0.78631,1.27597,0.000591625,0.000591625,0.000591625
35,8998.48,1.04448,1.30081,1.36937,0.76358,0.73725,0.79161,0.5942,0.91124,0.79988,1.26389,0.00057925,0.00057925,0.00057925
36,9271.65,1.02815,1.29113,1.37101,0.79396,0.72681,0.80798,0.60899,0.92071,0.76734,1.28964,0.000566875,0.000566875,0.000566875
37,9545.14,1.0287,1.25135,1.37,0.75758,0.74727,0.80635,0.60021,0.9357,0.7606,1.28536,0.0005545,0.0005545,0.0005545
38,9816.64,1.02338,1.25789,1.36585,0.79461,0.74574,0.82455,0.63366,0.87214,0.71083,1.24706,0.000542125,0.000542125,0.000542125
39,10092,1.01342,1.24564,1.35648,0.7563,0.7177,0.79885,0.60738,0.89286,0.76038,1.27164,0.00052975,0.00052975,0.00052975
40,10355.4,0.99847,1.18911,1.34843,0.78345,0.7477,0.8106,0.6213,0.88378,0.73185,1.25001,0.000517375,0.000517375,0.000517375
41,10623.7,1.00352,1.20747,1.35053,0.80171,0.74763,0.83047,0.64109,0.85395,0.71054,1.23966,0.000505,0.000505,0.000505
42,10893.9,0.98873,1.18594,1.33092,0.82143,0.74234,0.83271,0.63637,0.88608,0.72395,1.25487,0.000492625,0.000492625,0.000492625
43,11163.2,0.98454,1.16484,1.33805,0.81953,0.77033,0.84403,0.65302,0.84831,0.68085,1.23091,0.00048025,0.00048025,0.00048025
44,11429.6,0.98075,1.17237,1.33541,0.83035,0.77096,0.85164,0.66432,0.84059,0.67581,1.22655,0.000467875,0.000467875,0.000467875
45,11693.4,0.98156,1.16985,1.33119,0.7941,0.74658,0.81831,0.63469,0.8549,0.70063,1.23953,0.0004555,0.0004555,0.0004555
46,11957,0.96245,1.10666,1.31823,0.84247,0.75545,0.83916,0.65933,0.83118,0.65407,1.22887,0.000443125,0.000443125,0.000443125
47,12222.2,0.96125,1.12292,1.32238,0.85691,0.73619,0.84478,0.66272,0.82881,0.66178,1.22989,0.00043075,0.00043075,0.00043075
48,12488.6,0.95754,1.11347,1.31197,0.83999,0.74668,0.84602,0.66081,0.82409,0.65944,1.23034,0.000418375,0.000418375,0.000418375
